x	Strain	Group
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-135	yellow	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_B.d-136	brown1	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_D.d-137	brown4	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_E.d-138	blueviolet	darkgoldenrod
X:\blank_10000_SN0\Blank_A1p_1_01_F.d-139	darkcyan	darkgoldenrod
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-140	yellow	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_B.d-141	brown1	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_D.d-142	brown4	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_E.d-143	blueviolet	darkgoldenrod
X:\blank_10000_SN0\Blank_A1p_1_01_F.d-144	darkcyan	darkgoldenrod
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-145	yellow	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_B.d-146	brown1	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_D.d-147	brown4	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_E.d-148	blueviolet	darkgoldenrod
X:\blank_10000_SN0\Blank_A1p_1_01_F.d-149	darkcyan	darkgoldenrod
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-150	yellow	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_B.d-151	brown1	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_D.d-152	brown4	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_E.d-153	blueviolet	darkgoldenrod
X:\blank_10000_SN0\Blank_A1p_1_01_F.d-154	darkcyan	darkgoldenrod
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-155	yellow	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_B.d-156	brown1	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_D.d-157	brown4	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_E.d-158	blueviolet	darkgoldenrod
X:\blank_10000_SN0\Blank_A1p_1_01_F.d-159	darkcyan	darkgoldenrod
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-160	yellow	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_B.d-161	brown1	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_D.d-162	brown4	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_E.d-163	blueviolet	darkgoldenrod
X:\blank_10000_SN0\Blank_A1p_1_01_F.d-164	darkcyan	darkgoldenrod
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-165	yellow	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_B.d-166	brown1	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_D.d-167	brown4	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_E.d-168	blueviolet	darkgoldenrod
X:\blank_10000_SN0\Blank_A1p_1_01_F.d-169	darkcyan	darkgoldenrod
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-170	yellow	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_B.d-171	brown1	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_D.d-172	brown4	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_E.d-173	blueviolet	darkgoldenrod
X:\blank_10000_SN0\Blank_A1p_1_01_F.d-174	darkcyan	darkgoldenrod
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-175	yellow	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_B.d-176	brown1	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_D.d-177	brown4	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_E.d-178	blueviolet	darkgoldenrod
X:\blank_10000_SN0\Blank_A1p_1_01_F.d-179	darkcyan	darkgoldenrod
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-180	yellow	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_B.d-181	brown1	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_D.d-182	brown4	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_E.d-183	blueviolet	darkgoldenrod
X:\blank_10000_SN0\Blank_A1p_1_01_F.d-184	darkcyan	darkgoldenrod
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-185	yellow	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_B.d-186	brown1	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_D.d-187	brown4	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_E.d-188	blueviolet	darkgoldenrod
X:\blank_10000_SN0\Blank_A1p_1_01_F.d-189	darkcyan	darkgoldenrod
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-190	yellow	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_B.d-191	brown1	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_D.d-192	brown4	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_E.d-193	blueviolet	darkgoldenrod
X:\blank_10000_SN0\Blank_A1p_1_01_F.d-194	darkcyan	darkgoldenrod
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-195	yellow	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_B.d-196	brown1	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_D.d-197	brown4	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_E.d-198	blueviolet	darkgoldenrod
X:\blank_10000_SN0\Blank_A1p_1_01_F.d-199	darkcyan	darkgoldenrod
