	34.3s : 203.0m/z	34.8s : 244.0m/z	38.2s : 360.2m/z	41.4s : 328.1m/z	47.5s : 294.1m/z	47.6s : 276.1m/z	72.3s : 328.1m/z	797.5s : 411.0m/z	906.9s : 485.1m/z	964.1s : 768.5m/z	972.3s : 124.0m/z	972.7s : 620.4m/z	1000.1s : 371.1m/z	1000.2s : 559.1m/z	1041.1s : 785.5m/z	1054.9s : 782.5m/z	1060.5s : 755.5m/z	1073.4s : 769.6m/z	1076.7s : 371.1m/z	1076.7s : 628.1m/z	1076.9s : 656.2m/z	1076.9s : 649.1m/z	1077.0s : 633.1m/z	34.3s : 203.053m/zA	34.8s : 244.079m/zA	38.2s : 360.213m/zA	41.4s : 328.139m/zA	47.5s : 294.155m/zA	47.6s : 276.144m/zA	72.3s : 328.139m/zA	797.5s : 411.094m/zA	906.9s : 485.113m/zA	964.1s : 768.503m/zA	972.3s : 124.087m/zA	972.7s : 620.493m/zA	1000.1s : 371.101m/zA	1000.2s : 559.131m/zA	1041.1s : 785.599m/zA	1054.9s : 782.519m/zA	1060.5s : 755.589m/zA	1073.4s : 769.605m/zA	1076.7s : 371.101m/zA	1076.7s : 628.194m/zA	1076.9s : 656.226m/zA	1076.9s : 649.123m/zA	1077.0s : 633.150m/zA	34.3s : 203.053m/zB	34.8s : 244.079m/zB	38.2s : 360.213m/zB	41.4s : 328.139m/zB	47.5s : 294.155m/zB	47.6s : 276.144m/zB	72.3s : 328.139m/zB	797.5s : 411.094m/zB	906.9s : 485.113m/zB	964.1s : 768.503m/zB	972.3s : 124.087m/zB	972.7s : 620.493m/zB	1000.1s : 371.101m/zB	1000.2s : 559.131m/zB	1041.1s : 785.599m/zB	1054.9s : 782.519m/zB	1060.5s : 755.589m/zB	1073.4s : 769.605m/zB	1076.7s : 371.101m/zB	1076.7s : 628.194m/zB	1076.9s : 656.226m/zB	1076.9s : 649.123m/zB	1077.0s : 633.150m/zB
X:\blank_10000_SN0\Blank_A1p_1_01_F.d-119	402569	0	0	0	192856	100565	0	109969	227784	0	0	0	160222	335542	66656	0	61448	251236	71974	133204	194620	45566	462679	711573.392	0	0	0	278495.8875	181689.9956	0	181031.3393	289303.3967	0	0	0	214675.034	373769.2035	113067.2124	0	62307.84597	329620.1052	119837.1778	220232.5364	238843.9904	52954.61411	703872.5589	477636.1791	0	0	0	327881.2597	151655.4786	0	175057.8462	350376.198	0	0	0	294256.2532	335999.9527	76124.41404	0	72526.79345	318784.1307	75126.26597	178791.8803	379144.51	53930.33067	526682.0304
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-120	0	0	0	192856	0	0	0	0	0	0	0	0	0	0	0	0	131907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X:\blank_10000_SN0\Blank_A1p_1_01_B.d-121	0	0	0	0	0	0	0	53863	123108	29402	63726	28082	69572	196549	0	54695	81321	455342	0	0	122879	0	233735	0	0	0	0	0	0	0	63389.76941	224855.4709	44399.8177	77046.04524	53368.18819	110270.1826	264795.2926	0	78865.91858	154135.8178	560904.1052	0	0	211125.432	0	286369.4273	0	0	0	0	0	0	0	68133.5754	199919.7544	34591.25576	70105.57579	35203.26775	88210.73326	221240.3087	0	69010.81777	98651.54776	642632.5039	0	0	208134.9611	0	316290.5949
X:\blank_10000_SN0\Blank_A1p_1_01_D.d-122	0	0	0	0	244502	124939	87174	80010	176649	0	0	0	132586	294054	56234	0	46051	238835	72438	127483	192848	40498	435657	0	0	0	0	426731.4597	154312.5759	107039.3176	96992.2181	324876.846	0	0	0	218039.398	384201.3015	80612.79495	0	51077.97368	247547.7978	91130.07743	183104.7795	309349.9039	57825.77491	590176.9681	0	0	0	0	358511.6277	232932.8164	90955.98406	84751.21546	255305.731	0	0	0	214420.7092	377749.1723	88588.03862	0	66048.74088	421570.6919	75361.17574	164354.5123	291963.311	65128.85101	460425.7954
X:\blank_10000_SN0\Blank_A1p_1_01_E.d-123	469586	251906	161585	113763	254963	122061	0	92258	196240	0	0	0	131907	304436	96830	0	109582	395738	0	98527	156818	46774	407940	647978.4874	352998.032	182995.4263	137397.257	267298.7008	134406.5479	0	134426.2437	374408.8417	0	0	0	156963.6843	495744.0774	104634.2375	0	152906.0944	698202.4972	0	135444.0982	205900.1551	66368.36143	788026.476	602359.8417	310006.9785	313669.6648	164378.414	316183.5316	174855.9661	0	128066.7318	367106.4739	0	0	0	214711.2641	311034.8708	131088.8374	0	121287.5281	482858.5782	0	180491.6504	253100.5933	57156.69924	652959.0673
X:\blank_10000_SN0\Blank_A1p_1_01_F.d-124	402569	0	0	0	192856	100565	0	109969	227784	0	0	0	160222	335542	66656	0	61448	251236	71974	133204	194620	45566	462679	798603.2376	0	0	0	275376.5016	110501.5687	0	169244.6674	264806.2771	0	0	0	202141.3056	436403.8608	69216.34277	0	76003.2289	390535.1877	121291.7574	262942.2465	230627.7498	78146.37948	492902.3628	572526.0913	0	0	0	264417.3183	111936.1506	0	120597.7677	275876.2749	0	0	0	319758.7994	513623.0405	118270.7564	0	67394.29584	361608.404	115391.3719	182979.718	301593.9629	79155.17379	868076.8717
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-125	0	0	0	192856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X:\blank_10000_SN0\Blank_A1p_1_01_B.d-126	0	0	0	0	0	0	0	53863	123108	29402	63726	28082	69572	196549	0	54695	81321	455342	0	0	122879	0	233735	0	0	0	0	0	0	0	93876.99888	227978.0566	52745.68777	85065.50555	32020.3171	108756.4164	283454.0903	0	98029.32053	105157.6657	816141.7475	0	0	220592.3192	0	337156.1069	0	0	0	0	0	0	0	87359.34112	204163.5206	57271.28496	90120.46677	54035.15202	113726.5477	351835.591	0	97997.06073	108174.1884	840815.1879	0	0	157629.7308	0	300552.2201
X:\blank_10000_SN0\Blank_A1p_1_01_D.d-127	0	0	0	0	244502	124939	87174	80010	176649	0	0	0	132586	294054	56234	0	46051	238835	72438	127483	192848	40498	435657	0	0	0	0	400159.603	159128.3923	164994.5216	86650.54253	201684.1155	0	0	0	140953.5682	577398.6335	68799.43951	0	87204.80096	393104.1102	140360.312	235464.9561	213464.9673	44951.71959	500310.0371	0	0	0	0	458255.2276	178258.3861	111486.4825	117025.0414	337980.7396	0	0	0	150421.6063	376278.2611	101986.9607	0	46981.60784	475944.6772	136938.4032	230970.6976	334597.6739	56402.37365	636915.2915
X:\blank_10000_SN0\Blank_A1p_1_01_E.d-128	469586	251906	161585	113763	254963	122061	0	92258	196240	0	0	0	131907	304436	96830	0	109582	395738	0	98527	156818	46774	407940	668970.1638	407332.4176	304553.7856	212121.5001	291834.1793	139507.8227	0	165229.9414	338379.0656	0	0	0	215334.3947	364892.6141	177673.8277	0	163108.4431	515388.8309	0	113521.9155	212948.6496	74553.28041	421957.3204	532883.1807	385384.7059	299720.8131	146699.0399	273288.4228	163590.5728	0	136291.0407	369510.9421	0	0	0	205910.6355	333387.8174	130322.1806	0	135392.2949	490804.6814	0	157155.703	192211.6158	65890.01454	678775.1258
X:\blank_10000_SN0\Blank_A1p_1_01_F.d-129	402569	0	0	0	192856	100565	0	109969	227784	0	0	0	160222	335542	66656	0	61448	251236	71974	133204	194620	45566	462679	716489.5292	0	0	0	340184.1926	147534.1525	0	117163.9205	376682.7063	0	0	0	298040.4131	603371.5228	73585.81405	0	111389.2425	345190.0469	120677.0593	166097.5822	269838.8623	86497.49943	911317.5673	619062.8553	0	0	0	237501.4541	153258.9242	0	111239.3742	286555.9302	0	0	0	266247.0257	396372.074	113329.1978	0	85850.78051	282853.5616	88875.72004	222832.1888	264409.6204	71042.9223	689739.3685
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-130	0	0	0	192856	0	0	0	0	0	0	0	0	0	0	0	0	131907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X:\blank_10000_SN0\Blank_A1p_1_01_B.d-131	0	0	0	0	0	0	0	53863	123108	29402	63726	28082	69572	196549	0	54695	81321	455342	0	0	122879	0	233735	0	0	0	0	0	0	0	62907.64701	136390.1194	47511.00471	75279.17938	29598.0726	79724.822	220036.5797	0	99049.90046	128385.3612	675383.057	0	0	217429.1014	0	273749.6489	0	0	0	0	0	0	0	72770.91133	168975.5045	30194.5138	119787.2506	54558.47186	72639.6907	384720.5748	0	100783.8253	106446.3943	606813.9067	0	0	147820.8668	0	450771.3695
X:\blank_10000_SN0\Blank_A1p_1_01_D.d-132	0	0	0	0	244502	124939	87174	80010	176649	0	0	0	132586	294054	56234	0	46051	238835	72438	127483	192848	40498	435657	0	0	0	0	287342.042	130784.9985	132211.2348	83129.22323	328804.2639	0	0	0	173533.7709	557664.5143	71489.05229	0	72628.30186	265050.4733	139764.1781	209931.8839	343072.9973	79525.51493	743058.8017	0	0	0	0	350271.0561	182614.9253	159021.7437	86825.71765	246534.894	0	0	0	259493.2633	479511.4814	79246.01372	0	59789.55602	390270.2412	78505.33781	215178.5692	366441.8265	53297.88382	761663.5065
X:\blank_10000_SN0\Blank_A1p_1_01_E.d-133	469586	251906	161585	113763	254963	122061	0	92258	196240	0	0	0	131907	304436	96830	0	109582	395738	0	98527	156818	46774	407940	869676.3106	258385.0797	273035.6511	136779.2537	322539.009	234626.946	0	178630.5743	248575.9465	0	0	0	205460.0032	522396.068	189756.7814	0	175687.7796	521005.0013	0	188117.2252	162095.9889	77132.18856	749359.9691	748851.7466	454954.8974	190444.822	220751.8135	455760.7854	217497.7444	0	138136.1208	308035.1911	0	0	0	206646.113	333780.2093	179727.356	0	179542.0784	587647.8172	0	186939.2288	272806.4151	67739.90025	432463.0432
X:\blank_10000_SN0\Blank_A1p_1_01_F.d-134	402569	0	0	0	192856	100565	0	109969	227784	0	0	0	160222	335542	66656	0	61448	251236	71974	133204	194620	45566	462679	782600.7079	0	0	0	199281.453	168860.1701	0	219579.2364	383757.9082	0	0	0	176755.1273	343226.8066	116889.6991	0	65480.07396	296354.0518	74010.78036	182852.1382	258666.0933	47566.38894	462684.6091	750027.3881	0	0	0	288484.3331	172276.9334	0	194565.8752	387110.3642	0	0	0	169307.7465	396271.4219	129668.9005	0	104486.326	310643.0728	81271.65508	153813.6919	240075.783	86011.36173	800115.6474
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-135	0	0	0	192856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X:\blank_10000_SN0\Blank_A1p_1_01_B.d-136	0	0	0	0	0	0	0	53863	123108	29402	63726	28082	69572	196549	0	54695	81321	455342	0	0	122879	0	233735	0	0	0	0	0	0	0	103990.4672	205263.1284	35703.81103	121248.0448	46331.90137	120027.4328	269774.8959	0	90124.40061	162346.7537	619724.9159	0	0	152721.0682	0	316646.835	0	0	0	0	0	0	0	94397.93689	150642.8752	41104.45557	122214.1864	48107.99794	125416.0791	224586.1865	0	95565.59746	109751.2603	527665.3629	0	0	200119.2026	0	261391.9612
X:\blank_10000_SN0\Blank_A1p_1_01_D.d-137	0	0	0	0	244502	124939	87174	80010	176649	0	0	0	132586	294054	56234	0	46051	238835	72438	127483	192848	40498	435657	0	0	0	0	277295.7207	246651.4929	97423.34031	120679.9313	191877.553	0	0	0	236023.9993	347852.467	105823.5459	0	62494.35933	384577.9068	100864.3701	162495.3382	349520.2708	61821.44879	786554.3284	0	0	0	0	315621.7479	242873.7693	90902.06005	125960.7489	268511.1067	0	0	0	153000.4034	444383.0273	67490.96949	0	54952.54443	468820.3905	142527.0961	132609.7008	265510.873	57374.23824	781368.6079
X:\blank_10000_SN0\Blank_A1p_1_01_E.d-138	469586	251906	161585	113763	254963	122061	0	92258	196240	0	0	0	131907	304436	96830	0	109582	395738	0	98527	156818	46774	407940	817925.8983	410770.7533	284232.2131	122832.4474	343849.4305	165742.4357	0	97245.99864	203106.7152	0	0	0	240240.3875	440287.5444	164047.4929	0	137268.7944	604945.3238	0	115565.4514	191871.7623	78936.49371	513596.6193	797527.5076	430829.2762	229357.7662	226178.3308	400609.0532	230941.7852	0	171963.8244	294921.7348	0	0	0	166178.8604	520546.6188	135082.787	0	112501.2029	738251.839	0	147637.4132	228966.0017	54718.05264	443357.2447
X:\blank_10000_SN0\Blank_A1p_1_01_F.d-139	402569	0	0	0	192856	100565	0	109969	227784	0	0	0	160222	335542	66656	0	61448	251236	71974	133204	194620	45566	462679	720144.3161	0	0	0	276296.2761	157656.9462	0	141648.6523	242541.8488	0	0	0	183153.3807	528830.4124	110634.1001	0	111204.9275	416960.8128	85833.56089	195668.1401	379113.161	61479.16818	834052.2615	768719.929	0	0	0	321407.61	168652.3092	0	177815.1621	309287.5057	0	0	0	185756.013	547263.5315	105873.5722	0	92553.99711	275465.686	141089.8931	240755.1011	291822.1494	77786.04774	863948.9692
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-140	0	0	0	192856	0	0	0	0	0	0	0	0	0	0	0	0	131907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X:\blank_10000_SN0\Blank_A1p_1_01_B.d-141	0	0	0	0	0	0	0	53863	123108	29402	63726	28082	69572	196549	0	54695	81321	455342	0	0	122879	0	233735	0	0	0	0	0	0	0	93222.17463	245118.3279	30277.76589	76756.47123	37546.93966	78089.09485	333299.0437	0	79645.66506	159595.9925	457884.9759	0	0	197615.9444	0	392902.6831	0	0	0	0	0	0	0	58677.96005	213536.8337	46949.11329	101058.4085	49809.18621	87174.49738	220268.2379	0	63574.07917	110484.3316	867922.9198	0	0	139638.3342	0	403652.6331
X:\blank_10000_SN0\Blank_A1p_1_01_D.d-142	0	0	0	0	244502	124939	87174	80010	176649	0	0	0	132586	294054	56234	0	46051	238835	72438	127483	192848	40498	435657	0	0	0	0	428641.8531	227432.2731	106291.2117	102672.103	206622.7718	0	0	0	240253.6733	308948.2719	76936.44607	0	63895.70419	318208.7964	132850.635	225274.2152	304031.7662	59406.15595	668164.9958	0	0	0	0	358442.2596	173602.7142	144499.5276	126316.7485	315498.0918	0	0	0	169000.1855	548829.2252	91749.86408	0	66700.85332	475953.2246	87292.54593	177676.4346	252687.1337	49699.61648	522965.5417
X:\blank_10000_SN0\Blank_A1p_1_01_E.d-143	469586	251906	161585	113763	254963	122061	0	92258	196240	0	0	0	131907	304436	96830	0	109582	395738	0	98527	156818	46774	407940	474579.8371	322410.0955	189939.9111	206004.5048	507263.607	213704.9557	0	97009.54414	219316.1993	0	0	0	208173.5064	552811.5112	188013.2848	0	214461.0652	737162.0286	0	172200.3733	301387.7045	86896.04604	719940.7239	674999.5351	329644.4629	273462.706	218790.6036	434811.4185	168228.9137	0	107525.3807	243226.1337	0	0	0	246657.3108	543466.4388	141897.8225	0	202031.8813	498095.493	0	191380.3672	189823.7583	56774.25114	501881.9783
